Regional_Grouping,Region,Region_Code,M49Region_Code,Country,ISO3Code,M49_Code
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Saint Martin (French part),MAF,663
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Saint Pierre and Miquelon,SPM,666
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Saint Vincent and the Grenadines,VCT,670
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Sint Maarten,SXM,534
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Suriname,SUR,740
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Trinidad and Tobago,TTO,780
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Turks and Caicos Islands,TCA,796
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,United States,USA,840
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Uruguay,URY,858
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Venezuela (Bolivarian Republic of),VEN,862
UNSDG_REGION_GLOBAL,Americas,UNSDG_AMERICAS,19,Virgin Islands U.S.,VIR,850
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Afghanistan,AFG,4
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Armenia,ARM,51
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Azerbaijan,AZE,31
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Bahrain,BHR,48
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Bangladesh,BGD,50
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Bhutan,BTN,64
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Brunei Darussalam,BRN,96
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Cambodia,KHM,116
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,China,CHN,156
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Cyprus,CYP,196
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Democratic People's Republic of Korea,PRK,408
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Georgia,GEO,268
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,India,IND,356
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Indonesia,IDN,360
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Iran (Islamic Republic of),IRN,364
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Iraq,IRQ,368
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Israel,ISR,376
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Japan,JPN,392
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Jordan,JOR,400
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Kazakhstan,KAZ,398
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Kuwait,KWT,414
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Kyrgyzstan,KGZ,417
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Lao People's Democratic Republic,LAO,418
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Lebanon,LBN,422
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Malaysia,MYS,458
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Maldives,MDV,462
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Mongolia,MNG,496
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Myanmar,MMR,104
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Nepal,NPL,524
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Oman,OMN,512
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Pakistan,PAK,586
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Philippines,PHL,608
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Qatar,QAT,634
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Republic of Korea,KOR,410
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Saudi Arabia,SAU,682
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Singapore,SGP,702
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Sri Lanka,LKA,144
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,State of Palestine,PSE,275
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Syrian Arab Republic,SYR,760
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Tajikistan,TJK,762
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Thailand,THA,764
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Timor-Leste,TLS,626
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Turkmenistan,TKM,795
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Türkiye,TUR,792
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,United Arab Emirates,ARE,784
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Uzbekistan,UZB,860
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Viet Nam,VNM,704
UNSDG_REGION_GLOBAL,Asia,UNSDG_ASIA,142,Yemen,YEM,887
UNSDG_REGION_GLOBAL,Australia and New Zealand,UNSDG_AUSTRALIANEWZEALAND,53,,CXR,
UNSDG_REGION_GLOBAL,Australia and New Zealand,UNSDG_AUSTRALIANEWZEALAND,53,,CCK,
UNSDG_REGION_GLOBAL,Australia and New Zealand,UNSDG_AUSTRALIANEWZEALAND,53,,HMD,
UNSDG_REGION_GLOBAL,Australia and New Zealand,UNSDG_AUSTRALIANEWZEALAND,53,,NFK,
UNSDG_REGION_GLOBAL,Australia and New Zealand,UNSDG_AUSTRALIANEWZEALAND,53,Australia,AUS,36
UNSDG_REGION_GLOBAL,Australia and New Zealand,UNSDG_AUSTRALIANEWZEALAND,53,New Zealand,NZL,554
UNSDG_REGION_GLOBAL,Caribbean,UNSDG_CARIBBEAN,29,Anguilla,AIA,660
UNSDG_REGION_GLOBAL,Caribbean,UNSDG_CARIBBEAN,29,Antigua and Barbuda,ATG,28
UNSDG_REGION_GLOBAL,Caribbean,UNSDG_CARIBBEAN,29,Aruba,ABW,533
UNSDG_REGION_GLOBAL,Caribbean,UNSDG_CARIBBEAN,29,Bahamas,BHS,44
UNSDG_REGION_GLOBAL,Caribbean,UNSDG_CARIBBEAN,29,Barbados,BRB,52
UNSDG_REGION_GLOBAL,Caribbean,UNSDG_CARIBBEAN,29,British Virgin Islands,VGB,92
UNSDG_REGION_GLOBAL,Caribbean,UNSDG_CARIBBEAN,29,Cayman Islands,CYM,136
UNSDG_REGION_GLOBAL,Caribbean,UNSDG_CARIBBEAN,29,Cuba,CUB,192
UNSDG_REGION_GLOBAL,Caribbean,UNSDG_CARIBBEAN,29,Curaçao,CUW,531
UNSDG_REGION_GLOBAL,Caribbean,UNSDG_CARIBBEAN,29,Dominica,DMA,212
UNSDG_REGION_GLOBAL,Caribbean,UNSDG_CARIBBEAN,29,Dominican Republic,DOM,214
UNSDG_REGION_GLOBAL,Caribbean,UNSDG_CARIBBEAN,29,Grenada,GRD,308
UNSDG_REGION_GLOBAL,Caribbean,UNSDG_CARIBBEAN,29,Guadeloupe,GLP,312
UNSDG_REGION_GLOBAL,Caribbean,UNSDG_CARIBBEAN,29,Haiti,HTI,332
UNSDG_REGION_GLOBAL,Caribbean,UNSDG_CARIBBEAN,29,Jamaica,JAM,388
UNSDG_REGION_GLOBAL,Caribbean,UNSDG_CARIBBEAN,29,Martinique,MTQ,474
UNSDG_REGION_GLOBAL,Caribbean,UNSDG_CARIBBEAN,29,Montserrat,MSR,500
