Regional_Grouping,Region,Region_Code,Country,ISO3Code
UNICEF_SOWC,World,WORLD,Cambodia,KHM
UNICEF_SOWC,World,WORLD,Cameroon,CMR
UNICEF_SOWC,World,WORLD,Canada,CAN
UNICEF_SOWC,World,WORLD,Central African Republic,CAF
UNICEF_SOWC,World,WORLD,Chad,TCD
UNICEF_SOWC,World,WORLD,Chile,CHL
UNICEF_SOWC,World,WORLD,China,CHN
UNICEF_SOWC,World,WORLD,Colombia,COL
UNICEF_SOWC,World,WORLD,Comoros,COM
UNICEF_SOWC,World,WORLD,Congo,COG
UNICEF_SOWC,World,WORLD,Cook Islands,COK
UNICEF_SOWC,World,WORLD,Costa Rica,CRI
UNICEF_SOWC,World,WORLD,Croatia,HRV
UNICEF_SOWC,World,WORLD,Cuba,CUB
UNICEF_SOWC,World,WORLD,Cyprus,CYP
UNICEF_SOWC,World,WORLD,Czechia,CZE
UNICEF_SOWC,World,WORLD,Côte d'Ivoire,CIV
UNICEF_SOWC,World,WORLD,Democratic People's Republic of Korea,PRK
UNICEF_SOWC,World,WORLD,Democratic Republic of the Congo,COD
UNICEF_SOWC,World,WORLD,Denmark,DNK
UNICEF_SOWC,World,WORLD,Djibouti,DJI
UNICEF_SOWC,World,WORLD,Dominica,DMA
UNICEF_SOWC,World,WORLD,Dominican Republic,DOM
UNICEF_SOWC,World,WORLD,Ecuador,ECU
UNICEF_SOWC,World,WORLD,Egypt,EGY
UNICEF_SOWC,World,WORLD,El Salvador,SLV
UNICEF_SOWC,World,WORLD,Equatorial Guinea,GNQ
UNICEF_SOWC,World,WORLD,Eritrea,ERI
UNICEF_SOWC,World,WORLD,Estonia,EST
UNICEF_SOWC,World,WORLD,Eswatini,SWZ
UNICEF_SOWC,World,WORLD,Ethiopia,ETH
UNICEF_SOWC,World,WORLD,Fiji,FJI
UNICEF_SOWC,World,WORLD,Finland,FIN
UNICEF_SOWC,World,WORLD,France,FRA
UNICEF_SOWC,World,WORLD,Gabon,GAB
UNICEF_SOWC,World,WORLD,Gambia,GMB
UNICEF_SOWC,World,WORLD,Georgia,GEO
UNICEF_SOWC,World,WORLD,Germany,DEU
UNICEF_SOWC,World,WORLD,Ghana,GHA
UNICEF_SOWC,World,WORLD,Greece,GRC
UNICEF_SOWC,World,WORLD,Grenada,GRD
UNICEF_SOWC,World,WORLD,Guatemala,GTM
UNICEF_SOWC,World,WORLD,Guinea,GIN
UNICEF_SOWC,World,WORLD,Guinea-Bissau,GNB
