Regional_Grouping,Region,Region_Code,M49Region_Code,Country,ISO3Code,M49_Code
AUREC,Common Market for Eastern and Southern Africa (COMESA),SDGRC_ECA_COMESA,98113,Democratic Republic of the Congo,COD,180
AUREC,Common Market for Eastern and Southern Africa (COMESA),SDGRC_ECA_COMESA,98113,Djibouti,DJI,262
AUREC,Common Market for Eastern and Southern Africa (COMESA),SDGRC_ECA_COMESA,98113,Egypt,EGY,818
AUREC,Common Market for Eastern and Southern Africa (COMESA),SDGRC_ECA_COMESA,98113,Eritrea,ERI,232
AUREC,Common Market for Eastern and Southern Africa (COMESA),SDGRC_ECA_COMESA,98113,Eswatini,SWZ,748
AUREC,Common Market for Eastern and Southern Africa (COMESA),SDGRC_ECA_COMESA,98113,Ethiopia,ETH,231
AUREC,Common Market for Eastern and Southern Africa (COMESA),SDGRC_ECA_COMESA,98113,Kenya,KEN,404
AUREC,Common Market for Eastern and Southern Africa (COMESA),SDGRC_ECA_COMESA,98113,Libya,LBY,434
AUREC,Common Market for Eastern and Southern Africa (COMESA),SDGRC_ECA_COMESA,98113,Madagascar,MDG,450
AUREC,Common Market for Eastern and Southern Africa (COMESA),SDGRC_ECA_COMESA,98113,Malawi,MWI,454
AUREC,Common Market for Eastern and Southern Africa (COMESA),SDGRC_ECA_COMESA,98113,Mauritius,MUS,480
AUREC,Common Market for Eastern and Southern Africa (COMESA),SDGRC_ECA_COMESA,98113,Rwanda,RWA,646
AUREC,Common Market for Eastern and Southern Africa (COMESA),SDGRC_ECA_COMESA,98113,Seychelles,SYC,690
AUREC,Common Market for Eastern and Southern Africa (COMESA),SDGRC_ECA_COMESA,98113,Somalia,SOM,706
AUREC,Common Market for Eastern and Southern Africa (COMESA),SDGRC_ECA_COMESA,98113,Sudan,SDN,729
AUREC,Common Market for Eastern and Southern Africa (COMESA),SDGRC_ECA_COMESA,98113,Tunisia,TUN,788
AUREC,Common Market for Eastern and Southern Africa (COMESA),SDGRC_ECA_COMESA,98113,Uganda,UGA,800
AUREC,Common Market for Eastern and Southern Africa (COMESA),SDGRC_ECA_COMESA,98113,Zambia,ZMB,894
AUREC,Common Market for Eastern and Southern Africa (COMESA),SDGRC_ECA_COMESA,98113,Zimbabwe,ZWE,716
AUREC,ECA_Central Africa,SDGRC_ECA_CA,98101,Cameroon,CMR,120
AUREC,ECA_Central Africa,SDGRC_ECA_CA,98101,Central African Republic,CAF,140
AUREC,ECA_Central Africa,SDGRC_ECA_CA,98101,Chad,TCD,148
AUREC,ECA_Central Africa,SDGRC_ECA_CA,98101,Congo,COG,178
AUREC,ECA_Central Africa,SDGRC_ECA_CA,98101,Equatorial Guinea,GNQ,226
AUREC,ECA_Central Africa,SDGRC_ECA_CA,98101,Gabon,GAB,266
AUREC,ECA_Central Africa,SDGRC_ECA_CA,98101,Sao Tome and Principe,STP,678
AUREC,East African Community (EAC),SDGRC_ECA_EAC,98114,Burundi,BDI,108
AUREC,East African Community (EAC),SDGRC_ECA_EAC,98114,Democratic Republic of the Congo,COD,180
AUREC,East African Community (EAC),SDGRC_ECA_EAC,98114,Kenya,KEN,404
AUREC,East African Community (EAC),SDGRC_ECA_EAC,98114,Rwanda,RWA,646
AUREC,East African Community (EAC),SDGRC_ECA_EAC,98114,South Sudan,SSD,728
AUREC,East African Community (EAC),SDGRC_ECA_EAC,98114,Uganda,UGA,800
AUREC,East African Community (EAC),SDGRC_ECA_EAC,98114,United Republic of Tanzania,TZA,834
AUREC,Economic Community of Central African States (ECCAS),SDGRC_ECA_ECCAS,98107,Angola,AGO,24
AUREC,Economic Community of Central African States (ECCAS),SDGRC_ECA_ECCAS,98107,Burundi,BDI,108
AUREC,Economic Community of Central African States (ECCAS),SDGRC_ECA_ECCAS,98107,Cameroon,CMR,120
AUREC,Economic Community of Central African States (ECCAS),SDGRC_ECA_ECCAS,98107,Central African Republic,CAF,140
AUREC,Economic Community of Central African States (ECCAS),SDGRC_ECA_ECCAS,98107,Chad,TCD,148
AUREC,Economic Community of Central African States (ECCAS),SDGRC_ECA_ECCAS,98107,Congo,COG,178
AUREC,Economic Community of Central African States (ECCAS),SDGRC_ECA_ECCAS,98107,Democratic Republic of the Congo,COD,180
AUREC,Economic Community of Central African States (ECCAS),SDGRC_ECA_ECCAS,98107,Equatorial Guinea,GNQ,226
AUREC,Economic Community of Central African States (ECCAS),SDGRC_ECA_ECCAS,98107,Gabon,GAB,266
AUREC,Economic Community of Central African States (ECCAS),SDGRC_ECA_ECCAS,98107,Rwanda,RWA,646
AUREC,Economic Community of Central African States (ECCAS),SDGRC_ECA_ECCAS,98107,Sao Tome and Principe,STP,678
AUREC,Economic Community of West African States (ECOWAS),SDGRC_ECA_ECOWAS,98108,Benin,BEN,204
AUREC,Economic Community of West African States (ECOWAS),SDGRC_ECA_ECOWAS,98108,Cabo Verde,CPV,132
AUREC,Economic Community of West African States (ECOWAS),SDGRC_ECA_ECOWAS,98108,Côte d'Ivoire,CIV,384
AUREC,Economic Community of West African States (ECOWAS),SDGRC_ECA_ECOWAS,98108,Gambia,GMB,270
AUREC,Economic Community of West African States (ECOWAS),SDGRC_ECA_ECOWAS,98108,Ghana,GHA,288
AUREC,Economic Community of West African States (ECOWAS),SDGRC_ECA_ECOWAS,98108,Guinea,GIN,324
AUREC,Economic Community of West African States (ECOWAS),SDGRC_ECA_ECOWAS,98108,Guinea-Bissau,GNB,624
AUREC,Economic Community of West African States (ECOWAS),SDGRC_ECA_ECOWAS,98108,Liberia,LBR,430
AUREC,Economic Community of West African States (ECOWAS),SDGRC_ECA_ECOWAS,98108,Nigeria,NGA,566
AUREC,Economic Community of West African States (ECOWAS),SDGRC_ECA_ECOWAS,98108,Senegal,SEN,686
AUREC,Economic Community of West African States (ECOWAS),SDGRC_ECA_ECOWAS,98108,Sierra Leone,SLE,694
AUREC,Economic Community of West African States (ECOWAS),SDGRC_ECA_ECOWAS,98108,Togo,TGO,768
AUREC,ECA_Eastern Africa,SDGRC_ECA_EA,98102,Burundi,BDI,108
AUREC,ECA_Eastern Africa,SDGRC_ECA_EA,98102,Comoros,COM,174
AUREC,ECA_Eastern Africa,SDGRC_ECA_EA,98102,Democratic Republic of the Congo,COD,180
AUREC,ECA_Eastern Africa,SDGRC_ECA_EA,98102,Djibouti,DJI,262
AUREC,ECA_Eastern Africa,SDGRC_ECA_EA,98102,Eritrea,ERI,232
AUREC,ECA_Eastern Africa,SDGRC_ECA_EA,98102,Ethiopia,ETH,231
