Regional_Grouping,Region_Code,Region,Country,ISO3Code,M49Region_Code,M49_Code,FAO_CODE
AUREC,AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),Sudan,SDN,,,
AUREC,AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),Togo,TGO,,,
AUREC,AUREC_CEN_SAD,Community of Sahel-Saharan States (CEN-SAD),Tunisia,TUN,,,
AUREC,AUREC_EAC,East African Community (EAC),Burundi,BDI,,,
AUREC,AUREC_EAC,East African Community (EAC),Democratic Republic of the Congo,COD,,,
AUREC,AUREC_EAC,East African Community (EAC),Kenya,KEN,,,
AUREC,AUREC_EAC,East African Community (EAC),Rwanda,RWA,,,
AUREC,AUREC_EAC,East African Community (EAC),South Sudan,SSD,,,
AUREC,AUREC_EAC,East African Community (EAC),Uganda,UGA,,,
AUREC,AUREC_EAC,East African Community (EAC),United Republic of Tanzania,TZA,,,
AUREC,AUREC_ECCAS,Economic Community of Central African States (ECCAS),Angola,AGO,,,
AUREC,AUREC_ECCAS,Economic Community of Central African States (ECCAS),Burundi,BDI,,,
AUREC,AUREC_ECCAS,Economic Community of Central African States (ECCAS),Cameroon,CMR,,,
AUREC,AUREC_ECCAS,Economic Community of Central African States (ECCAS),Central African Republic,CAF,,,
AUREC,AUREC_ECCAS,Economic Community of Central African States (ECCAS),Chad,TCD,,,
AUREC,AUREC_ECCAS,Economic Community of Central African States (ECCAS),Congo,COG,,,
AUREC,AUREC_ECCAS,Economic Community of Central African States (ECCAS),Democratic Republic of the Congo,COD,,,
AUREC,AUREC_ECCAS,Economic Community of Central African States (ECCAS),Equatorial Guinea,GNQ,,,
AUREC,AUREC_ECCAS,Economic Community of Central African States (ECCAS),Gabon,GAB,,,
AUREC,AUREC_ECCAS,Economic Community of Central African States (ECCAS),Rwanda,RWA,,,
AUREC,AUREC_ECCAS,Economic Community of Central African States (ECCAS),Sao Tome and Principe,STP,,,
AUREC,AUREC_ECOWAS,Economic Community of West African States (ECOWAS),Benin,BEN,,,
AUREC,AUREC_ECOWAS,Economic Community of West African States (ECOWAS),Burkina Faso,BFA,,,
AUREC,AUREC_ECOWAS,Economic Community of West African States (ECOWAS),Cabo Verde,CPV,,,
AUREC,AUREC_ECOWAS,Economic Community of West African States (ECOWAS),Côte d'Ivoire,CIV,,,
AUREC,AUREC_ECOWAS,Economic Community of West African States (ECOWAS),Gambia,GMB,,,
AUREC,AUREC_ECOWAS,Economic Community of West African States (ECOWAS),Ghana,GHA,,,
AUREC,AUREC_ECOWAS,Economic Community of West African States (ECOWAS),Guinea,GIN,,,
AUREC,AUREC_ECOWAS,Economic Community of West African States (ECOWAS),Guinea-Bissau,GNB,,,
AUREC,AUREC_ECOWAS,Economic Community of West African States (ECOWAS),Liberia,LBR,,,
AUREC,AUREC_ECOWAS,Economic Community of West African States (ECOWAS),Mali,MLI,,,
AUREC,AUREC_ECOWAS,Economic Community of West African States (ECOWAS),Niger,NER,,,
AUREC,AUREC_ECOWAS,Economic Community of West African States (ECOWAS),Nigeria,NGA,,,
AUREC,AUREC_ECOWAS,Economic Community of West African States (ECOWAS),Senegal,SEN,,,
AUREC,AUREC_ECOWAS,Economic Community of West African States (ECOWAS),Sierra Leone,SLE,,,
AUREC,AUREC_ECOWAS,Economic Community of West African States (ECOWAS),Togo,TGO,,,
AUREC,AUREC_IGAD,Intergovernmental Authority on Development (IGAD),Djibouti,DJI,,,
AUREC,AUREC_IGAD,Intergovernmental Authority on Development (IGAD),Eritrea,ERI,,,
AUREC,AUREC_IGAD,Intergovernmental Authority on Development (IGAD),Ethiopia,ETH,,,
AUREC,AUREC_IGAD,Intergovernmental Authority on Development (IGAD),Kenya,KEN,,,
AUREC,AUREC_IGAD,Intergovernmental Authority on Development (IGAD),Somalia,SOM,,,
AUREC,AUREC_IGAD,Intergovernmental Authority on Development (IGAD),South Sudan,SSD,,,
AUREC,AUREC_IGAD,Intergovernmental Authority on Development (IGAD),Sudan,SDN,,,
AUREC,AUREC_IGAD,Intergovernmental Authority on Development (IGAD),Uganda,UGA,,,
AUREC,AUREC_SADC,Southern African Development Community (SADC),Angola,AGO,,,
AUREC,AUREC_SADC,Southern African Development Community (SADC),Botswana,BWA,,,
AUREC,AUREC_SADC,Southern African Development Community (SADC),Comoros,COM,,,
AUREC,AUREC_SADC,Southern African Development Community (SADC),Democratic Republic of the Congo,COD,,,
AUREC,AUREC_SADC,Southern African Development Community (SADC),Eswatini,SWZ,,,
AUREC,AUREC_SADC,Southern African Development Community (SADC),Lesotho,LSO,,,
AUREC,AUREC_SADC,Southern African Development Community (SADC),Madagascar,MDG,,,
AUREC,AUREC_SADC,Southern African Development Community (SADC),Malawi,MWI,,,
AUREC,AUREC_SADC,Southern African Development Community (SADC),Mauritius,MUS,,,
AUREC,AUREC_SADC,Southern African Development Community (SADC),Mozambique,MOZ,,,
AUREC,AUREC_SADC,Southern African Development Community (SADC),Namibia,NAM,,,
AUREC,AUREC_SADC,Southern African Development Community (SADC),Seychelles,SYC,,,
AUREC,AUREC_SADC,Southern African Development Community (SADC),South Africa,ZAF,,,
AUREC,AUREC_SADC,Southern African Development Community (SADC),United Republic of Tanzania,TZA,,,
AUREC,AUREC_SADC,Southern African Development Community (SADC),Zambia,ZMB,,,
AUREC,AUREC_SADC,Southern African Development Community (SADC),Zimbabwe,ZWE,,,
AUREC,AUREC_ECOWAS_202502,Economic Community of West African States (ECOWAS) 202502,Benin,BEN,,,
AUREC,AUREC_ECOWAS_202502,Economic Community of West African States (ECOWAS) 202502,Cabo Verde,CPV,,,
AUREC,AUREC_ECOWAS_202502,Economic Community of West African States (ECOWAS) 202502,Côte d'Ivoire,CIV,,,
AUREC,AUREC_ECOWAS_202502,Economic Community of West African States (ECOWAS) 202502,Gambia,GMB,,,
AUREC,AUREC_ECOWAS_202502,Economic Community of West African States (ECOWAS) 202502,Ghana,GHA,,,
AUREC,AUREC_ECOWAS_202502,Economic Community of West African States (ECOWAS) 202502,Guinea,GIN,,,
AUREC,AUREC_ECOWAS_202502,Economic Community of West African States (ECOWAS) 202502,Guinea-Bissau,GNB,,,
AUREC,AUREC_ECOWAS_202502,Economic Community of West African States (ECOWAS) 202502,Liberia,LBR,,,
AUREC,AUREC_ECOWAS_202502,Economic Community of West African States (ECOWAS) 202502,Nigeria,NGA,,,
AUREC,AUREC_ECOWAS_202502,Economic Community of West African States (ECOWAS) 202502,Senegal,SEN,,,
AUREC,AUREC_ECOWAS_202502,Economic Community of West African States (ECOWAS) 202502,Sierra Leone,SLE,,,
AUREC,AUREC_ECOWAS_202502,Economic Community of West African States (ECOWAS) 202502,Togo,TGO,,,
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Afghanistan,AFG,901,4,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Benin,BEN,901,204,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Burkina Faso,BFA,901,854,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Burundi,BDI,901,108,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Cameroon,CMR,901,120,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Central African Republic,CAF,901,140,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Chad,TCD,901,148,5815
FAO_GLOBAL,FAO_LIFDC,Low Income Food Deficit Countries (LIFDCs),Comoros,COM,901,174,5815
