ISO3Code,Regional_Grouping,Region,Region_Code
TTO,UNICEF_SOWC,World,UNICEF_World
TUN,UNICEF_SOWC,World,UNICEF_World
TUR,UNICEF_SOWC,World,UNICEF_World
TUV,UNICEF_SOWC,World,UNICEF_World
TZA,UNICEF_SOWC,World,UNICEF_World
UGA,UNICEF_SOWC,World,UNICEF_World
UKR,UNICEF_SOWC,World,UNICEF_World
URY,UNICEF_SOWC,World,UNICEF_World
USA,UNICEF_SOWC,World,UNICEF_World
UZB,UNICEF_SOWC,World,UNICEF_World
VAT,UNICEF_SOWC,World,UNICEF_World
VCT,UNICEF_SOWC,World,UNICEF_World
VEN,UNICEF_SOWC,World,UNICEF_World
VGB,UNICEF_SOWC,World,UNICEF_World
VNM,UNICEF_SOWC,World,UNICEF_World
VUT,UNICEF_SOWC,World,UNICEF_World
WSM,UNICEF_SOWC,World,UNICEF_World
YEM,UNICEF_SOWC,World,UNICEF_World
ZAF,UNICEF_SOWC,World,UNICEF_World
ZMB,UNICEF_SOWC,World,UNICEF_World
ZWE,UNICEF_SOWC,World,UNICEF_World
